ticker,harga,take_profit,stop_loss,aksi,prob_high,prob_low,prob_success,profit_potential_pct
BSDE.JK,840.0,859.19,815.92,beli,0.89,0.87,0.88,2.29
CENT.JK,113.0,120.22,109.59,beli,0.73,0.87,0.8,6.39
COCO.JK,74.0,77.21,73.23,beli,0.79,0.87,0.83,4.34
CSIS.JK,74.0,77.33,73.33,beli,0.95,0.88,0.91,4.51
DIVA.JK,100.0,102.12,98.14,beli,0.9,0.93,0.91,2.12
DMAS.JK,150.0,165.2,147.84,beli,0.83,0.86,0.84,10.13
ECII.JK,195.0,204.33,193.66,beli,0.91,0.92,0.91,4.79
ESSA.JK,620.0,638.25,614.93,beli,0.89,0.9,0.89,2.94
FMII.JK,418.0,434.5,394.13,beli,0.81,0.92,0.86,3.95
JAST.JK,59.0,63.23,58.58,beli,0.71,0.88,0.79,7.18
JKON.JK,73.0,74.8,72.8,beli,0.7,0.9,0.8,2.46
KAEF.JK,458.0,468.85,455.52,beli,0.88,0.85,0.86,2.37
LUCK.JK,71.0,75.96,65.29,beli,0.79,0.77,0.78,6.99
MITI.JK,167.0,172.06,160.58,beli,0.83,0.89,0.86,3.03
