2025-04-30 12:56:42.229050: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-30 12:56:42.232314: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-04-30 12:56:42.240985: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1746017802.255949    2088 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1746017802.260190    2088 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1746017802.272077    2088 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746017802.272112    2088 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746017802.272114    2088 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1746017802.272117    2088 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
2025-04-30 12:56:42.275810: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-04-30 12:56:48,955 - ERROR - Error mengambil data AALI.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:48,956 - ERROR - Error mengambil data ACES.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:48,956 - ERROR - AALI.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:48,956 - ERROR - Error mengambil data ABMM.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:48,956 - ERROR - ACES.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:48,956 - ERROR - Error mengambil data ABBA.JK: Too Many Requests. Rate limited. Try after a while.
2025-04-30 12:56:48,958 - ERROR - ABMM.JK: Data saham tidak ditemukan atau kosong.
2025-04-30 12:56:48,960 - ERROR - ABBA.JK: Data saham tidak ditemukan atau kosong.
